Date,nasdaq100_price,gdp,rate,crude_price
22/03/2004,1381.390015,1.14564E+13,1.01,37.11000061
23/03/2004,1370.040039,1.14564E+13,0.99,37.45000076
24/03/2004,1381.859985,1.14564E+13,0.99,37.00999832
25/03/2004,1425.859985,1.14564E+13,1.02,35.50999832
26/03/2004,1415.390015,1.14564E+13,1,35.72999954
29/03/2004,1442.310059,1.14564E+13,1,35.45000076
30/03/2004,1445.25,1.14564E+13,0.98,36.25
31/03/2004,1438.410034,1.14564E+13,1.05,35.75999832
01/04/2004,1453.219971,1.14564E+13,1.05,34.27000046
02/04/2004,1490.300049,1.14564E+13,1.05,34.38999939
05/04/2004,1508.369995,1.14564E+13,1.05,34.38000107
06/04/2004,1493.579956,1.14564E+13,1.05,34.97000122
07/04/2004,1481.959961,1.14564E+13,1.05,36.15000153
08/04/2004,1485.51001,1.14564E+13,1.05,37.13999939
12/04/2004,1495.930054,1.14564E+13,1.05,37.84000015
13/04/2004,1472.880005,1.14564E+13,1.05,37.20999908
14/04/2004,1475.660034,1.14564E+13,1.05,36.72000122
15/04/2004,1459.449951,1.14564E+13,1.05,37.56999969
16/04/2004,1449.060059,1.14564E+13,1.05,37.74000168
19/04/2004,1473.47998,1.14564E+13,1.05,37.41999817
20/04/2004,1436.900024,1.14564E+13,1.05,37.59999847
21/04/2004,1451.01001,1.14564E+13,0.99,35.72999954
22/04/2004,1485.5,1.14564E+13,1,36.70999908
23/04/2004,1497.01001,1.14564E+13,0.99,36.45999908
26/04/2004,1480.530029,1.14564E+13,1.01,36.97000122
27/04/2004,1479.469971,1.14564E+13,0.99,37.52999878
28/04/2004,1453.030029,1.14564E+13,1.01,37.45999908
29/04/2004,1431.359985,1.14564E+13,1.03,37.31000137
30/04/2004,1401.359985,1.14564E+13,1.03,37.38000107
03/05/2004,1415.290039,1.14564E+13,1.03,38.20999908
04/05/2004,1422.109985,1.14564E+13,1.03,38.97999954
05/05/2004,1428.420044,1.14564E+13,1.03,39.56999969
06/05/2004,1415.599976,1.14564E+13,1.03,39.36999893
07/05/2004,1406.189941,1.14564E+13,1.03,39.93000031
10/05/2004,1397.099976,1.14564E+13,1.03,38.93000031
11/05/2004,1421.890015,1.14564E+13,1.03,40.06000137
12/05/2004,1414.829956,1.14564E+13,1.03,40.77000046
13/05/2004,1417.089966,1.14564E+13,1.03,41.08000183
14/05/2004,1399.849976,1.14564E+13,1.03,41.38000107
17/05/2004,1379.900024,1.14564E+13,1.03,41.54999924
18/05/2004,1397.469971,1.14564E+13,1.03,40.54000092
19/05/2004,1396.339966,1.14564E+13,1.03,41.5
20/05/2004,1396.869995,1.14564E+13,1.03,40.91999817
21/05/2004,1408.170044,1.14564E+13,0.99,39.93000031
24/05/2004,1413.969971,1.14564E+13,1,41.72000122
25/05/2004,1447.719971,1.14564E+13,1,41.13999939
26/05/2004,1453.869995,1.14564E+13,0.99,40.70000076
27/05/2004,1463.109985,1.14564E+13,1,39.43999863
28/05/2004,1466.219971,1.14564E+13,1.02,39.88000107
01/06/2004,1468.540039,1.14564E+13,1.02,42.33000183
02/06/2004,1464.219971,1.14564E+13,1.02,39.95999908
03/06/2004,1445.209961,1.14564E+13,1.02,39.27999878
04/06/2004,1455.040039,1.14564E+13,1.02,38.49000168
07/06/2004,1491.449951,1.14564E+13,1.02,38.65999985
08/06/2004,1495.969971,1.14564E+13,1.02,37.27999878
09/06/2004,1469.5,1.14564E+13,1.02,37.54000092
10/06/2004,1481.27002,1.14564E+13,1.02,38.45000076
14/06/2004,1458.640015,1.14564E+13,1.02,37.59000015
15/06/2004,1479.199951,1.14564E+13,1.02,37.18999863
16/06/2004,1479.98999,1.14564E+13,1.02,37.31999969
17/06/2004,1464.030029,1.14564E+13,1.02,38.45999908
18/06/2004,1464.650024,1.14564E+13,1.02,38.75
21/06/2004,1453.22998,1.14564E+13,1,37.63000107
22/06/2004,1474.869995,1.14564E+13,1,38.11000061
23/06/2004,1493.52002,1.14564E+13,1.02,37.56999969
24/06/2004,1488.310059,1.14564E+13,1.03,37.93000031
25/06/2004,1498.380005,1.14564E+13,1.05,37.54999924
28/06/2004,1493.069946,1.14564E+13,1.09,36.24000168
29/06/2004,1505.650024,1.14564E+13,1.13,35.65999985
30/06/2004,1516.640015,1.14564E+13,1.38,37.04999924
01/07/2004,1489.569946,1.14564E+13,1.38,38.74000168
02/07/2004,1481.189941,1.14564E+13,1.38,38.38999939
06/07/2004,1445.709961,1.14564E+13,1.38,39.65000153
07/07/2004,1452.48999,1.14564E+13,1.38,39.08000183
08/07/2004,1431.130005,1.14564E+13,1.38,40.33000183
09/07/2004,1440,1.14564E+13,1.38,39.95999908
12/07/2004,1432.109985,1.14564E+13,1.38,39.5
13/07/2004,1428.680054,1.14564E+13,1.38,39.43999863
14/07/2004,1416.050049,1.14564E+13,1.38,40.97000122
15/07/2004,1415.920044,1.14564E+13,1.38,40.77000046
16/07/2004,1392.170044,1.14564E+13,1.38,41.25
19/07/2004,1396.77002,1.14564E+13,1.38,41.63999939
20/07/2004,1421.069946,1.14564E+13,1.38,40.86000061
21/07/2004,1386.569946,1.14564E+13,1.25,40.58000183
22/07/2004,1408.51001,1.14564E+13,1.26,41.36000061
23/07/2004,1375.47998,1.14564E+13,1.25,41.70999908
26/07/2004,1368.400024,1.14564E+13,1.27,41.43999863
27/07/2004,1391.5,1.14564E+13,1.27,41.84000015
